Ele_A,A num,cs,Ele_B,B num,Hf,E,Abun,Atm mass
Gd,159,16.451626,Gd,160,-,-,24.8412,157.25
Tb,159,30.452595,Tb,160,6.31E+06,879.383,100,158.9253
Dy,164,2999.5327,Dy,165,8.50E+03,94.7,28.22,162.5
Ho,165,73.92766,Ho,166,9.72E+04,1379.4,100,164.9303
Er,166,31.262598,Er,167,-,-,33.62,167.259
Er,170,20.611532,Er,171,2.71E+04,308.291,14.91,167.259
Tm,169,112.67038,Tm,170,1.10E+07,84.255,100,168.9342
Yb,174,110.5309,Yb,175,3.63E+05,396.329,31.84,173.04
Lu,175,29.66167,Lu,176m,1.33E+04,88.361,97.412,174.967
Lu,176,2102.318,Lu,177,5.82E+05,208.366,2.599,175.967
Th,232,20.429836,Th,233,-,-,100,232.0381
Pa,231,213.50574,-,-,-,-,100,231.0359
U,238,11.940654,U,239,1.41E+03,74.664,99.2745,238.0289
Np,239,56.34814,-,-,-,-,trace,-
Pu,238,589.30524,-,-,-,-,trace,-
Pu,239,1031.0533,Pu,240,2.07E+11,104.234,trace,-
Am,241,704.1947,-,-,-,-,syn,-
Cm,242,36.562737,-,-,-,-,syn,-
Bk,245,1019.801,-,-,-,-,syn,-
Cf,248,2426.368,-,-,-,-,syn,-
Es,252,2224.718,-,-,-,-,syn,-
Md,256,2261.3103,-,-,-,-,syn,-
No,253,411.45673,-,-,-,-,syn,-
Lr,254,787.1546,-,-,-,-,syn,-
